"Chloe, Chloris, and Cytherea",Gertrude Hall Brownell,United States,,manual/processed/chloe-chloris-and-cytherea-by-gertrude-hall-brownell-0004-0004.txt
THE PIAZZA,Herman Melville,United States,,manual/processed/the-piazza-by-herman-melville-0005-0000.txt
BARTLEBY,Herman Melville,United States,,manual/processed/bartleby-by-herman-melville-0005-0001.txt
BENITO CERENO,Herman Melville,United States,,manual/processed/benito-cereno-by-herman-melville-0005-0002.txt
THE LIGHTNING-ROD MAN,Herman Melville,United States,,manual/processed/the-lightning-rod-man-by-herman-melville-0005-0003.txt
THE ENCANTADAS,Herman Melville,United States,,manual/processed/the-encantadas-by-herman-melville-0005-0004.txt
THE BELL-TOWER,Herman Melville,United States,,manual/processed/the-bell-tower-by-herman-melville-0005-0005.txt
"THE $30,000 BEQUEST",Mark Twain,United States,,manual/processed/the-30000-bequest-by-mark-twain-0006-0000.txt
A DOG'S TALE,Mark Twain,United States,,manual/processed/a-dog-s-tale-by-mark-twain-0006-0001.txt
WAS IT HEAVEN? OR HELL?,Mark Twain,United States,,manual/processed/was-it-heaven-or-hell-by-mark-twain-0006-0002.txt
A CURE FOR THE BLUES,Mark Twain,United States,,manual/processed/a-cure-for-the-blues-by-mark-twain-0006-0003.txt
THE CURIOUS BOOK,Mark Twain,United States,,manual/processed/the-curious-book-by-mark-twain-0006-0004.txt
THE CALIFORNIAN'S TALE,Mark Twain,United States,,manual/processed/the-californian-s-tale-by-mark-twain-0006-0005.txt
A HELPLESS SITUATION,Mark Twain,United States,,manual/processed/a-helpless-situation-by-mark-twain-0006-0006.txt
A TELEPHONIC CONVERSATION,Mark Twain,United States,,manual/processed/a-telephonic-conversation-by-mark-twain-0006-0007.txt
EDWARD MILLS AND GEORGE BENTON: A TALE,Mark Twain,United States,,manual/processed/edward-mills-and-george-benton-a-tale-by-mark-twain-0006-0008.txt
THE FIVE BOONS OF LIFE,Mark Twain,United States,,manual/processed/the-five-boons-of-life-by-mark-twain-0006-0009.txt
THE FIRST WRITING-MACHINES,Mark Twain,United States,,manual/processed/the-first-writing-machines-by-mark-twain-0006-0010.txt
ITALIAN WITHOUT A MASTER,Mark Twain,United States,,manual/processed/italian-without-a-master-by-mark-twain-0006-0011.txt
ITALIAN WITH GRAMMAR,Mark Twain,United States,,manual/processed/italian-with-grammar-by-mark-twain-0006-0012.txt
A BURLESQUE BIOGRAPHY,Mark Twain,United States,,manual/processed/a-burlesque-biography-by-mark-twain-0006-0013.txt
HOW TO TELL A STORY,Mark Twain,United States,,manual/processed/how-to-tell-a-story-by-mark-twain-0006-0014.txt
GENERAL WASHINGTON'S NEGRO BODY-SERVANT,Mark Twain,United States,,manual/processed/general-washington-s-negro-body-servant-by-mark-twain-0006-0015.txt
WIT INSPIRATIONS OF THE “TWO-YEAR-OLDS”,Mark Twain,United States,,manual/processed/wit-inspirations-of-the-two-year-olds-by-mark-twain-0006-0016.txt
AN ENTERTAINING ARTICLE,Mark Twain,United States,,manual/processed/an-entertaining-article-by-mark-twain-0006-0017.txt
A LETTER TO THE SECRETARY OF THE TREASURY,Mark Twain,United States,,manual/processed/a-letter-to-the-secretary-of-the-treasury-by-mark-twain-0006-0018.txt
AMENDED OBITUARIES,Mark Twain,United States,,manual/processed/amended-obituaries-by-mark-twain-0006-0019.txt
