The Messenger,Robert W. (Robert William) Chambers,Other,,bookshelf/processed/the-messenger-by-robert-w-robert-william-chambers.txt
Lazarus,Leonid Nikolayevich Andreyev,Other,,bookshelf/processed/lazarus-by-leonid-nikolayevich-andreyev.txt
The Beast With Five Fingers,F. W. (Frederick William) Harvey,Other,,bookshelf/processed/the-beast-with-five-fingers-by-f-w-frederick-william-harvey.txt
The Mass Of Shadows,Anatole France,Other,,bookshelf/processed/the-mass-of-shadows-by-anatole-france.txt
What Was It?,Edward J. (Edward Joseph Harrington) O'Brien,Other,,bookshelf/processed/what-was-it-by-edward-j-edward-joseph-harrington-o-brien.txt
The Middle Toe Of The Right Foot,Ambrose Bierce,Other,,bookshelf/processed/the-middle-toe-of-the-right-foot-by-ambrose-bierce.txt
The Shell Of Sense,Olivia Howard Dunbar,Other,,bookshelf/processed/the-shell-of-sense-by-olivia-howard-dunbar.txt
At The Gate,Myla Jo Closser,Other,,bookshelf/processed/at-the-gate-by-myla-jo-closser.txt
Ligeia,Edgar Allan Poe,Other,,bookshelf/processed/ligeia-by-edgar-allan-poe.txt
The Bowmen,Arthur Machen,Other,,bookshelf/processed/the-bowmen-by-arthur-machen.txt
A Ghost,Guy de Maupassant,Other,,bookshelf/processed/a-ghost-by-guy-de-maupassant.txt
The Willows,Algernon Blackwood,Other,,bookshelf/processed/the-willows-by-algernon-blackwood.txt
The Beast With Five Fingers,F. W. (Frederick William) Harvey,Other,,bookshelf/processed/the-beast-with-five-fingers-by-f-w-frederick-william-harvey.txt
Lazarus,Leonid Nikolayevich Andreyev,Other,,bookshelf/processed/lazarus-by-leonid-nikolayevich-andreyev.txt
Ligeia,Edgar Allan Poe,Other,,bookshelf/processed/ligeia-by-edgar-allan-poe.txt
The Messenger,Robert W. (Robert William) Chambers,Other,,bookshelf/processed/the-messenger-by-robert-w-robert-william-chambers.txt
The Shadows On The Wall,Mary Eleanor Wilkins Freeman,Other,,bookshelf/processed/the-shadows-on-the-wall-by-mary-eleanor-wilkins-freeman.txt
The Mass Of Shadows,Anatole France,Other,,bookshelf/processed/the-mass-of-shadows-by-anatole-france.txt
At The Gate,Myla Jo Closser,Other,,bookshelf/processed/at-the-gate-by-myla-jo-closser.txt
Count Kostia,Victor Cherbuliez,Europe,France,bookshelf/processed/count-kostia-by-victor-cherbuliez.txt
Andre Cornelis,Paul Bourget,Europe,France,bookshelf/processed/andre-cornelis-by-paul-bourget.txt
The Last of the Costellos,Anonymous,Europe,France,bookshelf/processed/the-last-of-the-costellos-by-anonymous.txt
Lady Betty's Indiscretion,Anonymous,Europe,France,bookshelf/processed/lady-betty-s-indiscretion-by-anonymous.txt
"Briefless Barrister, The",John G. Saxe,United States,,bookshelf/processed/briefless-barrister-the-by-john-g-saxe.txt
"Two Husbands, The",Carolyn Wells,United States,,bookshelf/processed/two-husbands-the-by-carolyn-wells.txt
Story of the Two Friars,Eugene Field,United States,,bookshelf/processed/story-of-the-two-friars-by-eugene-field.txt
"Greco-Trojan Game, The",Charles F. Johnson,United States,,bookshelf/processed/greco-trojan-game-the-by-charles-f-johnson.txt
"Economical Pair, The",Carolyn Wells,United States,,bookshelf/processed/economical-pair-the-by-carolyn-wells.txt
"Two Pedestrians, The",Carolyn Wells,United States,,bookshelf/processed/two-pedestrians-the-by-carolyn-wells.txt
"Complaint of Friends, A",Gail Hamilton,United States,,bookshelf/processed/complaint-of-friends-a-by-gail-hamilton.txt
Ponchus Pilut,James Whitcomb Riley,United States,,bookshelf/processed/ponchus-pilut-by-james-whitcomb-riley.txt
"Wolf at Susan's Door, The",Anne Warner,United States,,bookshelf/processed/wolf-at-susan-s-door-the-by-anne-warner.txt
"Two Prisoners, The",Carolyn Wells,United States,,bookshelf/processed/two-prisoners-the-by-carolyn-wells.txt
"Modern Advantage, A",Charlotte Becker,United States,,bookshelf/processed/modern-advantage-a-by-charlotte-becker.txt
"Raggedy Man, The",James Whitcomb Riley,United States,,bookshelf/processed/raggedy-man-the-by-james-whitcomb-riley.txt
"Modern Eclogue, A",Bliss Carman,United States,,bookshelf/processed/modern-eclogue-a-by-bliss-carman.txt
"Cable-Car Preacher, A",Sam Walter Foss,United States,,bookshelf/processed/cable-car-preacher-a-by-sam-walter-foss.txt
How to Know the Wild Animals,Carolyn Wells,United States,,bookshelf/processed/how-to-know-the-wild-animals-by-carolyn-wells.txt
"I Remember, I Remember",Phœbe Cary,United States,,bookshelf/processed/i-remember-i-remember-by-phoebe-cary.txt
"Coupon Bonds, The",J.T. Trowbridge,United States,,bookshelf/processed/coupon-bonds-the-by-j-t-trowbridge.txt
"Shooting-Match, The",A.B. Longstreet,United States,,bookshelf/processed/shooting-match-the-by-a-b-longstreet.txt
Desolation,Tom Masson,United States,,bookshelf/processed/desolation-by-tom-masson.txt
